receiver_player_id,receiver_player_name,targets,Receptions,AirYards,ReceivingYards,completeAirYards,Touchdowns,expReceptions,expCompAirYards,PPR_points
00-0029632,M.Sanu,58,45,399,417,246,2,38.59667433585863,226.2699745688265,98.7
00-0029608,T.Hilton,45,32,428,360,225,5,27.817884286188782,199.08779751398157,98
00-0031382,J.Landry,62,36,601,555,323,1,37.42336581939663,294.17442404971143,97.5
00-0033127,W.Fuller,48,34,657,450,274,3,28.441966307175036,257.1884917303566,97
00-0033857,J.Smith-Schuster,48,33,520,459,273,3,29.288204763492242,240.8373257273644,96.9
00-0033280,C.McCaffrey,52,42,54,363,18,3,38.51624735687964,21.486515605403632,96.30000000000001
00-0035350,P.Williams,58,32,771,428,344,3,32.54016379348861,353.8785270512997,92.80000000000001
00-0031547,D.Parker,50,28,744,400,319,4,28.165725407076028,333.92738186300204,92
00-0031062,J.White,54,44,134,404,86,1,38.9329073641288,57.14267505098083,90.4
00-0031941,J.Crowder,55,43,348,405,218,1,36.74175807833586,193.0713762777515,89.5
00-0033282,C.Samuel,59,30,922,407,307,3,31.79810299184076,386.4273615171233,88.7
00-0032160,T.Williams,33,23,524,355,272,5,18.162057134198143,234.19175646476634,88.5
00-0033293,A.Jones,46,35,103,354,40,3,33.726913329255545,28.95896956124824,88.4
00-0029137,A.Jeffery,54,34,492,353,256,3,33.45394947506612,251.7061407568214,87.30000000000001
00-0035676,A.Brown,39,26,430,429,266,3,23.32088248723867,225.6969956963401,86.9
00-0029000,C.Beasley,52,35,367,337,180,3,34.458697622135745,211.71640115269793,86.7
00-0034764,M.Gallup,44,29,500,454,291,2,26.398753727665486,254.74952866643054,86.4
00-0030431,R.Woods,58,38,450,471,221,0,37.23303097179583,241.55412805050025,85.1
00-0033040,T.Hill,34,22,547,386,304,4,18.5208454797098,232.01713061480947,84.6
00-0029738,D.Fells,31,24,173,245,131,6,20.338763322225994,100.89410578782092,84.5
00-0033536,M.Williams,50,29,748,530,393,0,27.600860134935367,343.5540965630324,82
00-0035140,M.Hardman,32,20,341,374,159,4,19.321834139780496,135.84212038265275,81.4
00-0032128,C.Conley,46,23,668,461,289,2,25.833748725155875,320.2482834941751,81.1
00-0031285,D.Freeman,40,35,29,272,20,3,30.347954280057337,13.66898095115272,80.2
00-0033090,H.Henry,38,29,405,388,290,2,22.715030079639973,224.3588867751995,79.80000000000001
00-0032187,D.Johnson,40,30,131,315,116,3,27.602113851146136,59.97656473596773,79.5
00-0035662,M.Brown,43,24,549,374,204,3,25.82849576397163,230.02179546160406,79.4
00-0031549,N.Agholor,53,32,640,282,171,3,31.746107601000244,256.2014641664275,78.2
00-0022127,J.Witten,40,34,289,321,217,2,25.99397077548383,161.70043556640988,78.1
00-0033871,C.Davis,45,28,506,374,224,2,27.104198083072703,249.6136187698582,77.4
00-0032208,P.Dorsett,36,23,432,299,242,4,21.18245211488036,194.05890620634165,76.9
00-0033839,D.Westbrook,54,32,344,384,180,1,35.25233967559605,167.92605319247758,76.4
00-0034272,M.Valdes-Scantling,40,22,628,420,293,2,22.127851030249577,254.00227151155858,76
00-0033251,Z.Pascal,26,19,283,321,219,4,15.391650880965356,151.9280110816479,75.1
00-0026035,D.Amendola,44,31,402,376,230,1,27.74043214014925,213.9504411707167,74.6
00-0035216,D.Johnson,40,26,377,303,158,3,25.644543245067712,156.20823837556455,74.3
00-0031381,D.Adams,47,32,488,419,265,0,28.93044238775987,240.8323825263512,73.9
00-0032775,D.Robinson,40,23,578,323,264,3,22.438387596062,253.08531541736917,73.30000000000001
00-0031236,B.Cooks,44,27,617,402,290,1,25.349395076568708,279.5326863291443,73.2
00-0034159,W.Dissly,27,23,256,262,192,4,16.721466706713965,130.86456054462278,73.2
00-0025418,G.Olsen,44,27,415,331,234,2,27.02218195128062,228.89009794766346,72.1
00-0034686,A.Tate,53,27,547,391,317,1,31.45271245217996,282.63760446879945,72.1
00-0033948,J.Williams,28,25,-12,166,-13,5,21.43440813019774,-16.700600263289147,71.6
00-0030496,L.Bell,49,40,-5,242,-31,1,37.22498676608771,-23.48006021694572,70.2
00-0033856,L.Fournette,50,40,31,294,-1,0,36.528770451697426,9.236900545075242,69.4
00-0027696,J.Graham,37,25,280,251,145,3,23.50792301464336,143.59254946984285,68.1
00-0033895,G.Everett,42,26,354,297,145,2,26.336156861216818,167.80703776355352,67.7
00-0027891,G.Tate,39,29,290,322,181,1,26.019689315560846,159.47976688784274,67.2
00-0034775,C.Kirk,53,34,456,329,186,0,33.78660915223547,220.94871552835693,66.9
00-0033460,J.Ross III,32,16,377,328,173,3,18.868232302395782,181.75395819201097,66.80000000000001
00-0033893,D.Cook,40,33,-51,338,-38,0,32.4466650002268,-47.52328052527442,66.80000000000001
00-0033906,A.Kamara,38,33,28,276,-13,1,29.203506015230996,-9.425744166512349,66.6
00-0035644,N.Fant,36,23,285,300,138,2,23.44462905544772,143.368844399533,65
00-0030085,K.Stills,28,22,324,367,272,1,16.977576453897182,137.7978529746403,64.7
00-0033553,J.Conner,31,29,-41,236,-35,2,24.829528773874895,-40.04082854300468,64.6
00-0032009,A.Humphries,41,32,272,318,206,0,26.912179524043488,157.63475151587397,63.8
00-0035229,T.Hockenson,38,22,299,296,141,2,24.26346027071581,160.3867660116693,63.6
00-0031257,P.Richardson,38,27,335,239,189,2,23.821236535226834,188.66260134506328,62.900000000000006
00-0035535,D.Slayton,30,17,480,273,231,3,16.1616658397386,207.42505314580038,62.3
00-0032688,Ro.Anderson,44,23,625,330,238,1,24.696610718100796,272.8794183629854,62
00-0034983,H.Renfrow,37,24,232,257,114,2,24.692776874804817,137.10741531803654,61.7
00-0034351,D.Goedert,30,21,166,221,77,3,20.378797664022077,82.09116975057736,61.1
00-0031387,E.Ebron,30,18,278,248,135,3,19.05994285101669,149.07784667852607,60.8
00-0032543,A.Erickson,36,25,290,343,183,0,22.035237048651485,147.68883504860565,59.300000000000004
00-0033556,T.Cohen,50,34,148,193,9,1,36.25004462627991,54.694228992778115,59.3
00-0030181,J.Doyle,33,24,185,232,99,2,22.83345153007361,111.72911240586706,59.2
00-0031228,T.Gabriel,25,17,307,238,184,3,14.886933178004817,138.65900520708075,58.8
00-0035243,M.Sanders,26,22,93,305,57,1,18.896083671940143,28.96294509681573,58.5
00-0028002,R.Cobb,35,25,275,274,156,1,22.77916200129129,144.21469839575767,58.400000000000006
00-0032385,S.Shepard,32,25,313,267,144,1,20.324284704008164,153.84180220004023,57.7
00-0030470,V.McDonald,28,22,122,176,62,3,19.862963800467902,70.0432350822504,57.6
00-0032257,D.Johnson,31,22,103,228,52,2,22.22416774953863,52.51303783448917,56.8
