full_player_name,team,position,Yards,Receptions,Touchdowns,FirstDowns,HalfPPR,HalfPPR_PPFD,PosRank
Jeremy Langford,ATL,RB,25,0,0,1,2.5,3,120
J'Mon Moore,GB,WR,15,2,0,1,2.5,3,191
Brock Osweiler,MIA,QB,23,0,0,1,2.3000000000000003,2.8000000000000003,47
NA,NA,NA,13,2,0,1,2.3,2.8,15
Travaris Cadet,CAR,RB,22,1,0,0,2.7,2.7,121
NA,NA,NA,11,3,0,0,2.6,2.6,16
Joshua Dobbs,PIT,QB,15,0,0,2,1.5,2.5,48
Alan Cross,TB,TE,9,2,0,1,1.9000000000000001,2.4000000000000004,112
Justin Davis,LA,RB,19,0,0,1,1.9000000000000001,2.4000000000000004,122
Matt Flanagan,WAS,TE,14,1,0,1,1.9000000000000001,2.4000000000000004,112
Ross Dwelley,SF,TE,14,2,0,0,2.4000000000000004,2.4000000000000004,112
Tim White,BAL,WR,14,1,0,1,1.9000000000000001,2.4000000000000004,192
Jamaal Charles,JAX,RB,14,2,0,0,2.4,2.4,123
Derek Watt,LAC,FB,13,1,0,1,1.8,2.3,13
NA,NA,NA,13,2,0,0,2.3,2.3,17
NA,NA,NA,17,0,0,1,1.7000000000000002,2.2,18
Josh Malone,CIN,WR,12,1,0,1,1.7000000000000002,2.2,193
Sammie Coates,HOU,WR,12,1,0,1,1.7000000000000002,2.2,193
NA,NA,NA,12,1,0,1,1.7000000000000002,2.2,18
David Fluellen,TEN,RB,16,0,0,1,1.6,2.1,124
NA,NA,NA,11,2,0,0,2.1,2.1,20
NA,NA,NA,10,1,0,1,1.5,2,21
NA,NA,NA,10,1,0,1,1.5,2,21
De'Angelo Henderson Sr.,NYJ,RB,19,0,0,0,1.9000000000000001,1.9000000000000001,125
Matt Cassel,DET,QB,14,0,0,1,1.4000000000000001,1.9000000000000001,49
Philip Rivers,LAC,QB,14,0,0,1,1.4000000000000001,1.9000000000000001,49
NA,NA,NA,14,0,0,1,1.4000000000000001,1.9000000000000001,23
Dion Sims,CHI,TE,9,2,0,0,1.9,1.9,114
Damiere Byrd,CAR,WR,8,1,0,1,1.3,1.8,195
Darvin Kidsy,WAS,WR,8,1,0,1,1.3,1.8,195
Robert Turbin,IND,RB,13,1,0,0,1.8,1.8,126
Jeremy Kerley,BUF,WR,7,2,0,0,1.7000000000000002,1.7000000000000002,197
Jonathan Stewart,NYG,RB,17,0,0,0,1.7000000000000002,1.7000000000000002,127
Richard Rodgers,PHI,TE,7,1,0,1,1.2000000000000002,1.7000000000000002,115
Teddy Bridgewater,NO,QB,12,0,0,1,1.2000000000000002,1.7000000000000002,51
Darius Jackson,DAL,RB,16,0,0,0,1.6,1.6,128
NA,NA,NA,6,1,0,1,1.1,1.6,24
NA,NA,NA,15,0,0,0,1.5,1.5,25
Cam Phillips,BUF,WR,9,1,0,0,1.4,1.4,198
NA,NA,NA,9,1,0,0,1.4,1.4,27
NA,NA,NA,9,1,0,0,1.4,1.4,27
NA,NA,NA,9,0,0,1,0.9,1.4,27
Jehu Chesson,WAS,WR,3,1,0,1,0.8000000000000002,1.3000000000000003,199
Keon Hatcher,OAK,WR,8,1,0,0,1.3,1.3,200
Mark Sanchez,WAS,QB,8,0,0,1,0.8,1.3,52
Rob Kelley,WAS,RB,8,0,0,1,0.8,1.3,129
Sam Bradford,ARI,QB,8,0,0,1,0.8,1.3,52
Allen Lazard,GB,WR,7,1,0,0,1.2000000000000002,1.2000000000000002,201
NA,NA,NA,12,0,0,0,1.2000000000000002,1.2000000000000002,29
Marcus Kemp,KC,WR,7,1,0,0,1.2000000000000002,1.2000000000000002,201
NA,NA,NA,7,0,0,1,0.7000000000000001,1.2000000000000002,29
Blaine Gabbert,TEN,QB,2,0,0,2,0.2,1.2,54
NA,NA,NA,2,1,0,1,0.7,1.2,31
Ronald Jones,TB,RB,2,2,0,0,1.2,1.2,130
NA,NA,NA,6,0,0,1,0.6000000000000001,1.1,32
Johnny Mundt,LA,TE,5,1,0,0,1,1,116
Justin Watson,TB,WR,5,1,0,0,1,1,203
Khari Lee,BUF,TE,5,1,0,0,1,1,116
Christine Michael,IND,RB,9,0,0,0,0.9,0.9,131
Geno Smith,LAC,QB,9,0,0,0,0.9,0.9,55
NA,NA,NA,4,0,0,1,0.4,0.9,33
NA,NA,NA,4,0,0,1,0.4,0.9,33
NA,NA,NA,3,0,0,1,0.30000000000000004,0.8,35
J.J. Jones,NYJ,WR,3,1,0,0,0.8,0.8,204
J.D. McKissic,SEA,RB,8,0,0,0,0.8,0.8,132
Sean Mannion,LA,QB,3,0,0,1,0.30000000000000004,0.8,56
Brian Hoyer,NE,QB,2,0,0,1,0.2,0.7,57
Darrius Heyward-Bey,PIT,WR,2,1,0,0,0.6999999999999998,0.6999999999999998,205
NA,NA,NA,1,1,0,0,0.6,0.6,36
Chad Henne,KC,QB,3,0,0,0,0.30000000000000004,0.30000000000000004,58
NA,NA,NA,3,0,0,0,0.30000000000000004,0.30000000000000004,37
NA,NA,NA,-2,1,0,0,0.3,0.3,38
Nick Mullens,SF,QB,-2,0,0,1,-0.2,0.29999999999999993,59
NA,NA,NA,2,0,0,0,0.2,0.2,39
NA,NA,NA,-4,1,0,0,0.09999999999999998,0.09999999999999998,40
AJ McCarron,OAK,QB,0,0,0,0,0,0,60
NA,NA,NA,0,0,0,0,0,0,47
NA,NA,NA,0,0,0,0,0,0,47
NA,NA,NA,0,0,0,0,0,0,47
Chris Lacy,DET,WR,0,0,0,0,0,0,208
NA,NA,NA,0,0,0,0,0,0,47
Darrell Daniels,ARI,TE,0,0,0,0,0,0,118
Geremy Davis,LAC,WR,0,0,0,0,0,0,208
Isaiah Ford,MIA,WR,0,0,0,0,0,0,208
Jerome Cunningham,DET,TE,0,0,0,0,0,0,118
Johnny Holton,OAK,WR,0,0,0,0,0,0,208
NA,NA,NA,-5,1,0,0,0,0,47
Matt Barkley,BUF,QB,0,0,0,0,0,0,60
NA,NA,NA,0,0,0,0,0,0,47
NA,NA,NA,0,0,0,0,0,0,47
NA,NA,NA,0,0,0,0,0,0,47
Mike Wallace,PHI,WR,0,0,0,0,0,0,208
NA,NA,NA,0,0,0,0,0,0,47
Riley McCarron,NE,WR,0,0,0,0,0,0,208
NA,NA,NA,0,0,0,0,0,0,47
NA,NA,NA,0,0,0,0,0,0,47
NA,NA,NA,0,0,0,0,0,0,47
NA,NA,NA,0,0,0,0,0,0,47
Matt Schaub,ATL,QB,-7,1,0,0,-0.20000000000000007,-0.20000000000000007,62
NA,NA,NA,-11,0,0,0,-1.1,-1.1,54
NA,NA,NA,-8530,0,14,0,-769,-769,55
