QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Cam Newton ($6100),Christian McCaffrey ($10000),Dalvin Cook ($7900),Kenny Golladay ($6200),Calvin Ridley ($6100),Curtis Samuel ($4600),Foster Moreau ($2500),WAS Football Team ($2000),Bryan Edwards ($4200),129.7
Matt Ryan ($6700),Austin Ekeler ($7000),J.K. Dobbins ($5000),Davante Adams ($7300),Calvin Ridley ($6100),DK Metcalf ($5800),Will Dissly ($3400),Eagles ($3600),Marquise Brown ($5100),129.7
Jimmy Garoppolo ($5800),Alvin Kamara ($7200),Josh Jacobs ($6800),Michael Thomas ($9000),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),Josh Hill ($2800),Jaguars ($2300),Tre'Quan Smith ($4000),129.7
Tyrod Taylor ($5600),Austin Ekeler ($7000),Matt Breida ($5000),Chris Godwin ($7100),Tyler Lockett ($6500),Calvin Ridley ($6100),Hayden Hurst ($4300),Raiders ($2600),DK Metcalf ($5800),129.7
Drew Brees ($6800),Marlon Mack ($5300),Kerryon Johnson ($4400),Michael Thomas ($9000),Mike Evans ($6900),Calvin Ridley ($6100),O.J. Howard ($3700),Jets ($2100),Terry McLaurin ($5600),129.7
Kirk Cousins ($5700),Dalvin Cook ($7900),Tarik Cohen ($4900),Davante Adams ($7300),Mike Evans ($6900),DeVante Parker ($6000),Kyle Rudolph ($3700),Raiders ($2600),DeSean Jackson ($4900),129.7
Matthew Stafford ($6200),Christian McCaffrey ($10000),Dalvin Cook ($7900),Kenny Golladay ($6200),Danny Amendola ($4800),N'Keal Harry ($4400),T.J. Hockenson ($4200),Jaguars ($2300),Antonio Gibson ($4000),129.7
Russell Wilson ($7000),Christian McCaffrey ($10000),Miles Sanders ($6300),Davante Adams ($7300),Marquise Brown ($5100),Russell Gage ($4300),Hayden Hurst ($4300),Jets ($2100),David Moore ($3600),129.7
Russell Wilson ($7000),Josh Jacobs ($6800),J.K. Dobbins ($5000),Mike Evans ($6900),Odell Beckham Jr. ($5900),Jarvis Landry ($5900),Dallas Goedert ($4100),Patriots ($3200),Marquise Brown ($5100),129.7
Lamar Jackson ($8100),Miles Sanders ($6300),Todd Gurley II ($6100),Odell Beckham Jr. ($5900),T.Y. Hilton ($5800),Willie Snead IV ($4000),Zach Ertz ($5800),Vikings ($2500),Mark Ingram II ($5500),129.7
Aaron Rodgers ($6300),Marlon Mack ($5300),Tarik Cohen ($4900),Davante Adams ($7300),Adam Thielen ($6700),Odell Beckham Jr. ($5900),Mark Andrews ($6000),Raiders ($2600),Allen Lazard ($4900),129.7
Josh Allen ($6500),Dalvin Cook ($7900),Chris Carson ($6200),Davante Adams ($7300),DK Metcalf ($5800),John Brown ($5600),Chris Herndon ($3300),Dolphins ($2000),Jamison Crowder ($5200),129.6
Dwayne Haskins Jr. ($5000),Dalvin Cook ($7900),Austin Ekeler ($7000),Kenny Golladay ($6200),DK Metcalf ($5800),Steven Sims Jr. ($4700),Zach Ertz ($5800),49ers ($3500),Antonio Gibson ($4000),129.6
Mitchell Trubisky ($5400),Alvin Kamara ($7200),Chris Carson ($6200),Michael Thomas ($9000),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Robert Tonyan ($2500),Ravens ($3100),Danny Amendola ($4800),129.6
Jimmy Garoppolo ($5800),Joe Mixon ($6700),Ronald Jones II ($5200),Julio Jones ($7700),Calvin Ridley ($6100),DK Metcalf ($5800),Greg Olsen ($4000),Lions ($2700),T.Y. Hilton ($5800),129.6
Aaron Rodgers ($6300),Dalvin Cook ($7900),Alvin Kamara ($7200),DJ Moore ($6600),Kenny Golladay ($6200),Olabisi Johnson ($4100),Robert Tonyan ($2500),Seahawks ($2400),Joe Mixon ($6700),129.6
Cam Newton ($6100),Christian McCaffrey ($10000),Mark Ingram II ($5500),Chris Godwin ($7100),T.Y. Hilton ($5800),Marquise Brown ($5100),Charles Scarff ($2500),Chargers ($2800),J.K. Dobbins ($5000),129.6
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Austin Ekeler ($7000),Tyler Lockett ($6500),Mike Williams ($4700),Chris Thompson ($3000),Tyler Eifert ($3300),Patriots ($3200),Joe Mixon ($6700),129.6
Russell Wilson ($7000),Alvin Kamara ($7200),J.D. McKissic ($4000),Michael Thomas ($9000),Kenny Golladay ($6200),Terry McLaurin ($5600),Dallas Goedert ($4100),49ers ($3500),Dontrelle Inman ($3400),129.5
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Austin Ekeler ($7000),Keenan Allen ($6400),Tyler Boyd ($6100),Marquise Brown ($5100),Robert Tonyan ($2500),Seahawks ($2400),DeSean Jackson ($4900),129.5
Lamar Jackson ($8100),Alvin Kamara ($7200),Joe Mixon ($6700),Chris Godwin ($7100),DK Metcalf ($5800),Emmanuel Sanders ($5700),Tyler Eifert ($3300),Jets ($2100),Scotty Miller ($4000),129.5
Tyrod Taylor ($5600),Dalvin Cook ($7900),Joe Mixon ($6700),Davante Adams ($7300),Keenan Allen ($6400),Marquise Brown ($5100),C.J. Uzomah ($3800),Patriots ($3200),Parris Campbell ($3900),129.5
Matt Ryan ($6700),Christian McCaffrey ($10000),Todd Gurley II ($6100),Chris Godwin ($7100),Henry Ruggs III ($5100),Curtis Samuel ($4600),Ian Thomas ($3400),Cardinals ($2100),Tarik Cohen ($4900),129.5
Drew Brees ($6800),Alvin Kamara ($7200),Ronald Jones II ($5200),Kenny Golladay ($6200),DK Metcalf ($5800),A.J. Green ($5700),Rob Gronkowski ($4900),Patriots ($3200),Christian Kirk ($5000),129.5
Carson Wentz ($6300),Alvin Kamara ($7200),Josh Jacobs ($6800),Calvin Ridley ($6100),DK Metcalf ($5800),Marvin Jones Jr. ($5500),Hayden Hurst ($4300),Bills ($3700),Phillip Dorsett II ($4200),129.5
Cam Newton ($6100),Josh Jacobs ($6800),James White ($6000),Michael Thomas ($9000),Marquise Brown ($5100),Preston Williams ($4500),Hayden Hurst ($4300),Bills ($3700),N'Keal Harry ($4400),129.5
Jimmy Garoppolo ($5800),Alvin Kamara ($7200),Chris Carson ($6200),Davante Adams ($7300),Adam Thielen ($6700),Tyler Lockett ($6500),Irv Smith Jr. ($3100),Bills ($3700),Equanimeous St. Brown ($3500),129.5
Matt Ryan ($6700),Christian McCaffrey ($10000),Chris Thompson ($4000),Michael Thomas ($9000),Marquise Brown ($5100),Chris Conley ($4000),Jack Doyle ($3600),Bills ($3700),Parris Campbell ($3900),129.5
Kirk Cousins ($5700),Dalvin Cook ($7900),Josh Jacobs ($6800),T.Y. Hilton ($5800),Allen Lazard ($4900),Preston Williams ($4500),George Kittle ($7200),Ravens ($3100),Marquez Valdes-Scantling ($4100),129.4
Lamar Jackson ($8100),Josh Jacobs ($6800),Chris Carson ($6200),Adam Thielen ($6700),DeSean Jackson ($4900),Greg Ward ($4200),Zach Ertz ($5800),49ers ($3500),Dontrelle Inman ($3400),129.4
Philip Rivers ($6000),Alvin Kamara ($7200),Tevin Coleman ($4200),Michael Thomas ($9000),Mike Evans ($6900),Calvin Ridley ($6100),Chris Herndon ($3300),Patriots ($3200),Scotty Miller ($4000),129.4
Matthew Stafford ($6200),Austin Ekeler ($7000),Antonio Gibson ($4000),Odell Beckham Jr. ($5900),Jarvis Landry ($5900),DK Metcalf ($5800),Mark Andrews ($6000),Bills ($3700),Marquise Brown ($5100),129.4
Kirk Cousins ($5700),Dalvin Cook ($7900),Miles Sanders ($6300),Julio Jones ($7700),Chris Godwin ($7100),DK Metcalf ($5800),Irv Smith Jr. ($3100),Jaguars ($2300),Olabisi Johnson ($4100),129.4
Tom Brady ($6500),Josh Jacobs ($6800),Ronald Jones II ($5200),Mike Evans ($6900),Adam Thielen ($6700),Terry McLaurin ($5600),Mark Andrews ($6000),Cardinals ($2100),Scotty Miller ($4000),129.4
Derek Carr ($5900),Alvin Kamara ($7200),Miles Sanders ($6300),DJ Moore ($6600),Terry McLaurin ($5600),Marquise Brown ($5100),Darren Waller ($5900),Jaguars ($2300),Henry Ruggs III ($5100),129.4
Tom Brady ($6500),Christian McCaffrey ($10000),Chris Carson ($6200),Chris Godwin ($7100),Marquise Brown ($5100),Tre'Quan Smith ($4000),Rob Gronkowski ($4900),Patriots ($3200),Chris Thompson ($3000),129.4
Lamar Jackson ($8100),Christian McCaffrey ($10000),Miles Sanders ($6300),Terry McLaurin ($5600),Marquise Brown ($5100),Willie Snead IV ($4000),Nick Boyle ($3300),Falcons ($2300),Marlon Mack ($5300),129.4
Teddy Bridgewater ($5900),Christian McCaffrey ($10000),Alvin Kamara ($7200),Calvin Ridley ($6100),Preston Williams ($4500),Bryan Edwards ($4200),Jason Witten ($3200),Jets ($2100),Josh Jacobs ($6800),129.4
Josh Allen ($6500),Christian McCaffrey ($10000),Jerick McKinnon ($4000),Davante Adams ($7300),Christian Kirk ($5000),Larry Fitzgerald ($4500),Mark Andrews ($6000),Eagles ($3600),Chris Thompson ($3000),129.4
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Miles Sanders ($6300),Marquise Brown ($5100),Curtis Samuel ($4600),N'Keal Harry ($4400),Darren Waller ($5900),Bills ($3700),Bryan Edwards ($4200),129.4
Derek Carr ($5900),Dalvin Cook ($7900),Alvin Kamara ($7200),Kenny Golladay ($6200),Henry Ruggs III ($5100),Curtis Samuel ($4600),Zach Ertz ($5800),Chargers ($2800),Hunter Renfrow ($4500),129.3
Russell Wilson ($7000),Joe Mixon ($6700),Kerryon Johnson ($4400),Chris Godwin ($7100),Tyler Lockett ($6500),Calvin Ridley ($6100),Zach Ertz ($5800),Jets ($2100),Russell Gage ($4300),129.3
Cam Newton ($6100),Alvin Kamara ($7200),Austin Ekeler ($7000),Allen Robinson II ($6500),Tyler Lockett ($6500),Kenny Golladay ($6200),T.J. Hockenson ($4200),Raiders ($2600),Ted Ginn Jr. ($3700),129.3
Drew Brees ($6800),Miles Sanders ($6300),Tarik Cohen ($4900),Chris Godwin ($7100),Mike Evans ($6900),Marquise Brown ($5100),Jared Cook ($5500),Jaguars ($2300),DeSean Jackson ($4900),129.3
Jimmy Garoppolo ($5800),Alvin Kamara ($7200),Jerick McKinnon ($4000),Julio Jones ($7700),Davante Adams ($7300),DeAndre Hopkins ($6800),Jordan Reed ($3000),Dolphins ($2000),Kenny Golladay ($6200),129.3
Carson Wentz ($6300),Christian McCaffrey ($10000),Alvin Kamara ($7200),Henry Ruggs III ($5100),DeSean Jackson ($4900),Bryan Edwards ($4200),Darren Waller ($5900),Vikings ($2500),Parris Campbell ($3900),129.3
Aaron Rodgers ($6300),Christian McCaffrey ($10000),Ronald Jones II ($5200),Davante Adams ($7300),T.Y. Hilton ($5800),Marquise Brown ($5100),Kyle Rudolph ($3700),Falcons ($2300),Marquez Valdes-Scantling ($4100),129.3
Derek Carr ($5900),Christian McCaffrey ($10000),Tarik Cohen ($4900),Adam Thielen ($6700),Calvin Ridley ($6100),Curtis Samuel ($4600),Dallas Goedert ($4100),Patriots ($3200),Hunter Renfrow ($4500),129.3
Drew Brees ($6800),Joe Mixon ($6700),Todd Gurley II ($6100),Michael Thomas ($9000),Mike Evans ($6900),Odell Beckham Jr. ($5900),Mo Alie-Cox ($2600),Dolphins ($2000),Tre'Quan Smith ($4000),129.3
Lamar Jackson ($8100),Todd Gurley II ($6100),James White ($6000),Michael Thomas ($9000),DK Metcalf ($5800),Preston Williams ($4500),Mike Gesicki ($4500),Chargers ($2800),Damiere Byrd ($3200),129.2
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Alvin Kamara ($7200),Tyler Lockett ($6500),Tyler Boyd ($6100),T.Y. Hilton ($5800),C.J. Uzomah ($3800),Dolphins ($2000),Jalen Guyton ($3000),129.2
Drew Brees ($6800),Alvin Kamara ($7200),Miles Sanders ($6300),Odell Beckham Jr. ($5900),Emmanuel Sanders ($5700),Dontrelle Inman ($3400),George Kittle ($7200),Jaguars ($2300),Ronald Jones II ($5200),129.2
Kirk Cousins ($5700),Dalvin Cook ($7900),J.K. Dobbins ($5000),Mike Evans ($6900),Adam Thielen ($6700),Robby Anderson ($4700),Zach Ertz ($5800),Patriots ($3200),Marquez Valdes-Scantling ($4100),129.2
Cam Newton ($6100),Josh Jacobs ($6800),Miles Sanders ($6300),Julio Jones ($7700),Tyler Lockett ($6500),Calvin Ridley ($6100),Will Dissly ($3400),Chargers ($2800),Parris Campbell ($3900),129.2
Gardner Minshew II ($5800),Christian McCaffrey ($10000),Dalvin Cook ($7900),DeSean Jackson ($4900),Parris Campbell ($3900),Keelan Cole ($3800),Jack Doyle ($3600),Ravens ($3100),Austin Ekeler ($7000),129.2
Aaron Rodgers ($6300),Alvin Kamara ($7200),Matt Breida ($5000),Julio Jones ($7700),Davante Adams ($7300),Adam Thielen ($6700),Ian Thomas ($3400),Jaguars ($2300),Olabisi Johnson ($4100),129.2
Tom Brady ($6500),Dalvin Cook ($7900),Alvin Kamara ($7200),Chris Godwin ($7100),Tyler Lockett ($6500),Marvin Jones Jr. ($5500),Josh Hill ($2800),Cardinals ($2100),Zack Moss ($4400),129.2
Matt Ryan ($6700),Dalvin Cook ($7900),Marlon Mack ($5300),Julio Jones ($7700),Tyler Lockett ($6500),T.Y. Hilton ($5800),Mo Alie-Cox ($2600),Patriots ($3200),Russell Gage ($4300),129.2
Jimmy Garoppolo ($5800),Dalvin Cook ($7900),Josh Jacobs ($6800),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Anthony Miller ($5000),Mark Andrews ($6000),WAS Football Team ($2000),Danny Amendola ($4800),129.2
Josh Allen ($6500),Joe Mixon ($6700),Miles Sanders ($6300),Davante Adams ($7300),Tyler Lockett ($6500),DK Metcalf ($5800),Will Dissly ($3400),Patriots ($3200),Russell Gage ($4300),129.2
Tom Brady ($6500),Dalvin Cook ($7900),Austin Ekeler ($7000),Adam Thielen ($6700),Calvin Ridley ($6100),Marvin Jones Jr. ($5500),Robert Tonyan ($2500),Bills ($3700),Olabisi Johnson ($4100),129.2
Teddy Bridgewater ($5900),Christian McCaffrey ($10000),Chris Carson ($6200),DJ Moore ($6600),T.Y. Hilton ($5800),Hunter Renfrow ($4500),Mark Andrews ($6000),WAS Football Team ($2000),Chris Thompson ($3000),129.2
Baker Mayfield ($5700),Dalvin Cook ($7900),Todd Gurley II ($6100),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),Jarvis Landry ($5900),Mark Andrews ($6000),Saints ($2400),Parris Campbell ($3900),129.2
Josh Allen ($6500),Miles Sanders ($6300),Ronald Jones II ($5200),Michael Thomas ($9000),DK Metcalf ($5800),Terry McLaurin ($5600),Rob Gronkowski ($4900),Lions ($2700),Tre'Quan Smith ($4000),129.2
Jimmy Garoppolo ($5800),Alvin Kamara ($7200),Joe Mixon ($6700),DeAndre Hopkins ($6800),Deebo Samuel ($5300),Christian Kirk ($5000),Mark Andrews ($6000),Patriots ($3200),Parris Campbell ($3900),129.1
Kirk Cousins ($5700),Joe Mixon ($6700),Miles Sanders ($6300),Michael Thomas ($9000),Davante Adams ($7300),T.Y. Hilton ($5800),Marcedes Lewis ($3000),Dolphins ($2000),Marquez Valdes-Scantling ($4100),129.1
Tom Brady ($6500),Josh Jacobs ($6800),J.D. McKissic ($4000),Julio Jones ($7700),Calvin Ridley ($6100),Terry McLaurin ($5600),Zach Ertz ($5800),Vikings ($2500),DeSean Jackson ($4900),129.1
Derek Carr ($5900),Christian McCaffrey ($10000),Ryan Nall ($4000),Adam Thielen ($6700),Tyler Lockett ($6500),Robby Anderson ($4700),Mark Andrews ($6000),Dolphins ($2000),Bryan Edwards ($4200),129.1
Tyrod Taylor ($5600),Dalvin Cook ($7900),Josh Jacobs ($6800),Davante Adams ($7300),Chris Godwin ($7100),Adam Thielen ($6700),Logan Thomas ($2800),Jaguars ($2300),Equanimeous St. Brown ($3500),129.1
Lamar Jackson ($8100),Joe Mixon ($6700),Boston Scott ($4800),Adam Thielen ($6700),Kenny Golladay ($6200),Marquise Brown ($5100),Austin Hooper ($5100),Patriots ($3200),Miles Boykin ($4100),129.1
Teddy Bridgewater ($5900),Christian McCaffrey ($10000),J.K. Dobbins ($5000),Michael Thomas ($9000),Odell Beckham Jr. ($5900),Curtis Samuel ($4600),Ian Thomas ($3400),Chargers ($2800),Dontrelle Inman ($3400),129.1
Tom Brady ($6500),J.K. Dobbins ($5000),Antonio Gibson ($4000),Michael Thomas ($9000),Davante Adams ($7300),Chris Godwin ($7100),Josh Hill ($2800),Falcons ($2300),T.Y. Hilton ($5800),129.1
Kirk Cousins ($5700),Alvin Kamara ($7200),Joe Mixon ($6700),Michael Thomas ($9000),Chris Godwin ($7100),Terry McLaurin ($5600),Cameron Brate ($3000),Seahawks ($2400),Damiere Byrd ($3200),129.1
Carson Wentz ($6300),Christian McCaffrey ($10000),Alvin Kamara ($7200),Marvin Jones Jr. ($5500),Steven Sims Jr. ($4700),Preston Williams ($4500),Zach Ertz ($5800),Cardinals ($2100),JJ Arcega-Whiteside ($3900),129.1
Carson Wentz ($6300),Christian McCaffrey ($10000),Kerryon Johnson ($4400),Tyler Lockett ($6500),DK Metcalf ($5800),T.Y. Hilton ($5800),Hayden Hurst ($4300),Saints ($2400),Russell Gage ($4300),129.1
Lamar Jackson ($8100),Austin Ekeler ($7000),Ryan Nall ($4000),Tyler Lockett ($6500),Odell Beckham Jr. ($5900),T.Y. Hilton ($5800),Austin Hooper ($5100),Saints ($2400),Marquise Brown ($5100),129.1
Lamar Jackson ($8100),Christian McCaffrey ($10000),J.D. McKissic ($4000),Adam Thielen ($6700),Terry McLaurin ($5600),Steven Sims Jr. ($4700),Dallas Goedert ($4100),Saints ($2400),N'Keal Harry ($4400),129
Josh Allen ($6500),Alvin Kamara ($7200),Todd Gurley II ($6100),Davante Adams ($7300),Stefon Diggs ($6400),T.Y. Hilton ($5800),Dawson Knox ($3900),Dolphins ($2000),Cole Beasley ($4800),129
Aaron Rodgers ($6300),Dalvin Cook ($7900),Joe Mixon ($6700),Davante Adams ($7300),Preston Williams ($4500),Bryan Edwards ($4200),Kyle Rudolph ($3700),Ravens ($3100),Miles Sanders ($6300),129
Kyler Murray ($6400),Dalvin Cook ($7900),Alvin Kamara ($7200),Terry McLaurin ($5600),Deebo Samuel ($5300),Christian Kirk ($5000),Zach Ertz ($5800),Jaguars ($2300),Larry Fitzgerald ($4500),129
Mitchell Trubisky ($5400),Alvin Kamara ($7200),J.K. Dobbins ($5000),Davante Adams ($7300),Chris Godwin ($7100),Mike Evans ($6900),Chris Herndon ($3300),WAS Football Team ($2000),Emmanuel Sanders ($5700),129
Josh Allen ($6500),Chris Carson ($6200),J.K. Dobbins ($5000),Michael Thomas ($9000),Davante Adams ($7300),Adam Thielen ($6700),Robert Tonyan ($2500),Raiders ($2600),Olabisi Johnson ($4100),129
Lamar Jackson ($8100),Christian McCaffrey ($10000),Antonio Gibson ($4000),DeAndre Hopkins ($6800),Parris Campbell ($3900),Andy Isabella ($3600),George Kittle ($7200),Patriots ($3200),Chris Thompson ($3000),129
Tom Brady ($6500),Dalvin Cook ($7900),Josh Jacobs ($6800),Tyler Boyd ($6100),Terry McLaurin ($5600),Jalen Guyton ($3000),Hunter Henry ($5300),Jets ($2100),Joe Mixon ($6700),129
Matthew Stafford ($6200),Miles Sanders ($6300),Ronald Jones II ($5200),Kenny Golladay ($6200),DK Metcalf ($5800),Marvin Jones Jr. ($5500),George Kittle ($7200),Chargers ($2800),Danny Amendola ($4800),129
Tom Brady ($6500),Dalvin Cook ($7900),Devine Ozigbo ($4000),Michael Thomas ($9000),Mike Evans ($6900),DK Metcalf ($5800),Chris Herndon ($3300),Raiders ($2600),Tre'Quan Smith ($4000),129
Drew Brees ($6800),Ronald Jones II ($5200),Tarik Cohen ($4900),Michael Thomas ($9000),Chris Godwin ($7100),Adam Thielen ($6700),Robert Tonyan ($2500),Falcons ($2300),Marvin Jones Jr. ($5500),129
Matt Ryan ($6700),Austin Ekeler ($7000),Joe Mixon ($6700),Keenan Allen ($6400),Odell Beckham Jr. ($5900),A.J. Green ($5700),Chris Herndon ($3300),Dolphins ($2000),Miles Sanders ($6300),129
Tom Brady ($6500),Dalvin Cook ($7900),Tevin Coleman ($4200),Davante Adams ($7300),Kenny Golladay ($6200),Marquez Valdes-Scantling ($4100),Mark Andrews ($6000),Eagles ($3600),Olabisi Johnson ($4100),129
Kyler Murray ($6400),Alvin Kamara ($7200),Joe Mixon ($6700),Davante Adams ($7300),Marquise Brown ($5100),Larry Fitzgerald ($4500),George Kittle ($7200),WAS Football Team ($2000),Andy Isabella ($3600),128.9
Josh Allen ($6500),Josh Jacobs ($6800),Chris Carson ($6200),DeAndre Hopkins ($6800),Kenny Golladay ($6200),Deebo Samuel ($5300),George Kittle ($7200),Dolphins ($2000),Chris Thompson ($3000),128.9
Ryan Fitzpatrick ($5300),Christian McCaffrey ($10000),Todd Gurley II ($6100),Davante Adams ($7300),Kenny Golladay ($6200),DeVante Parker ($6000),Devin Asiasi ($3500),Saints ($2400),Damiere Byrd ($3200),128.9
Carson Wentz ($6300),Josh Jacobs ($6800),Todd Gurley II ($6100),Michael Thomas ($9000),DeSean Jackson ($4900),Steven Sims Jr. ($4700),Mark Andrews ($6000),Jets ($2100),JJ Arcega-Whiteside ($3900),128.9
Lamar Jackson ($8100),Mark Ingram II ($5500),Tarik Cohen ($4900),Michael Thomas ($9000),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),Dallas Goedert ($4100),Dolphins ($2000),Miles Boykin ($4100),128.9
Jimmy Garoppolo ($5800),Alvin Kamara ($7200),Tarik Cohen ($4900),DeAndre Hopkins ($6800),DK Metcalf ($5800),T.Y. Hilton ($5800),George Kittle ($7200),Chargers ($2800),Andy Isabella ($3600),128.9
Matt Ryan ($6700),Christian McCaffrey ($10000),Josh Jacobs ($6800),Julio Jones ($7700),Kenny Golladay ($6200),Damiere Byrd ($3200),Hayden Hurst ($4300),Jets ($2100),Olamide Zaccheaus ($3000),128.9
Cam Newton ($6100),Dalvin Cook ($7900),Miles Sanders ($6300),Adam Thielen ($6700),Jakeem Grant ($3900),Damiere Byrd ($3200),George Kittle ($7200),Bills ($3700),Matt Breida ($5000),128.9
Josh Allen ($6500),Alvin Kamara ($7200),Miles Sanders ($6300),Michael Thomas ($9000),Tyler Lockett ($6500),Emmanuel Sanders ($5700),Josh Hill ($2800),Dolphins ($2000),Parris Campbell ($3900),128.9
Matt Ryan ($6700),Alvin Kamara ($7200),Todd Gurley II ($6100),Julio Jones ($7700),DK Metcalf ($5800),Christian Kirk ($5000),Greg Olsen ($4000),Eagles ($3600),Parris Campbell ($3900),128.9
Lamar Jackson ($8100),Christian McCaffrey ($10000),Ryan Nall ($4000),Odell Beckham Jr. ($5900),Jarvis Landry ($5900),Terry McLaurin ($5600),Ian Thomas ($3400),Colts ($3000),Miles Boykin ($4100),128.9
Gardner Minshew II ($5800),Alvin Kamara ($7200),Josh Jacobs ($6800),Michael Thomas ($9000),Terry McLaurin ($5600),Zach Pascal ($4200),Tyler Eifert ($3300),Bills ($3700),Parris Campbell ($3900),128.9
Cam Newton ($6100),Alvin Kamara ($7200),Miles Sanders ($6300),Michael Thomas ($9000),T.Y. Hilton ($5800),Scotty Miller ($4000),Rob Gronkowski ($4900),Panthers ($2500),Antonio Gibson ($4000),128.9
Ryan Fitzpatrick ($5300),Alvin Kamara ($7200),James White ($6000),Davante Adams ($7300),Tyler Lockett ($6500),Odell Beckham Jr. ($5900),Mike Gesicki ($4500),Lions ($2700),N'Keal Harry ($4400),128.9
Matt Ryan ($6700),Christian McCaffrey ($10000),Zack Moss ($4400),Julio Jones ($7700),Calvin Ridley ($6100),T.Y. Hilton ($5800),Tyler Eifert ($3300),Saints ($2400),David Moore ($3600),128.9
Carson Wentz ($6300),Alvin Kamara ($7200),Ronald Jones II ($5200),Mike Evans ($6900),Tyler Lockett ($6500),T.Y. Hilton ($5800),Rob Gronkowski ($4900),Cardinals ($2100),J.K. Dobbins ($5000),128.9
Lamar Jackson ($8100),Austin Ekeler ($7000),Chris Carson ($6200),Julio Jones ($7700),Marquise Brown ($5100),DeSean Jackson ($4900),Nick Boyle ($3300),Dolphins ($2000),Mark Ingram II ($5500),128.9
Drew Brees ($6800),Dalvin Cook ($7900),Zack Moss ($4400),Michael Thomas ($9000),Chris Godwin ($7100),Scotty Miller ($4000),Zach Ertz ($5800),Dolphins ($2000),Chris Thompson ($3000),128.9
Lamar Jackson ($8100),Josh Jacobs ($6800),Ronald Jones II ($5200),Michael Thomas ($9000),Mike Evans ($6900),T.Y. Hilton ($5800),Josh Hill ($2800),WAS Football Team ($2000),Cordarrelle Patterson ($3400),128.9
Josh Allen ($6500),Christian McCaffrey ($10000),Tevin Coleman ($4200),Allen Robinson II ($6500),Tyler Lockett ($6500),Marvin Jones Jr. ($5500),T.J. Hockenson ($4200),Patriots ($3200),Cordarrelle Patterson ($3400),128.9
Mitchell Trubisky ($5400),Dalvin Cook ($7900),Chris Carson ($6200),Michael Thomas ($9000),Allen Robinson II ($6500),Marquise Brown ($5100),T.J. Hockenson ($4200),Dolphins ($2000),Cordarrelle Patterson ($3400),128.9
Lamar Jackson ($8100),J.K. Dobbins ($5000),Tarik Cohen ($4900),Adam Thielen ($6700),DeVante Parker ($6000),Terry McLaurin ($5600),Mark Andrews ($6000),Bills ($3700),Willie Snead IV ($4000),128.9
Josh Allen ($6500),Christian McCaffrey ($10000),Chris Carson ($6200),Michael Thomas ($9000),Preston Williams ($4500),N'Keal Harry ($4400),Devin Asiasi ($3500),Lions ($2700),Damiere Byrd ($3200),128.9
Cam Newton ($6100),Christian McCaffrey ($10000),Joe Mixon ($6700),Adam Thielen ($6700),Tyler Boyd ($6100),A.J. Green ($5700),Chris Herndon ($3300),Seahawks ($2400),Jalen Guyton ($3000),128.9
Carson Wentz ($6300),Chris Carson ($6200),Antonio Gibson ($4000),Michael Thomas ($9000),Davante Adams ($7300),Christian Kirk ($5000),Zach Ertz ($5800),Dolphins ($2000),Greg Ward ($4200),128.8
Aaron Rodgers ($6300),Dalvin Cook ($7900),Todd Gurley II ($6100),Michael Thomas ($9000),Tyler Lockett ($6500),Marquise Brown ($5100),Robert Tonyan ($2500),Panthers ($2500),Marquez Valdes-Scantling ($4100),128.8
Matt Ryan ($6700),Chris Carson ($6200),Todd Gurley II ($6100),Tyler Lockett ($6500),DK Metcalf ($5800),Marvin Jones Jr. ($5500),Zach Ertz ($5800),Patriots ($3200),Phillip Dorsett II ($4200),128.8
Lamar Jackson ($8100),Miles Sanders ($6300),Chris Thompson ($4000),Mike Evans ($6900),T.Y. Hilton ($5800),Laviska Shenault Jr. ($4400),George Kittle ($7200),Patriots ($3200),Chris Conley ($4000),128.8
Tyrod Taylor ($5600),Dalvin Cook ($7900),Miles Sanders ($6300),Kenny Golladay ($6200),Tyler Boyd ($6100),A.J. Green ($5700),C.J. Uzomah ($3800),Raiders ($2600),Terry McLaurin ($5600),128.8
Russell Wilson ($7000),Christian McCaffrey ($10000),Antonio Gibson ($4000),Chris Godwin ($7100),Tyler Lockett ($6500),Hunter Renfrow ($4500),Ian Thomas ($3400),Patriots ($3200),Bryan Edwards ($4200),128.8
Lamar Jackson ($8100),Christian McCaffrey ($10000),Todd Gurley II ($6100),DK Metcalf ($5800),Hunter Renfrow ($4500),Bryan Edwards ($4200),Darren Waller ($5900),Saints ($2400),Chris Thompson ($3000),128.8
Cam Newton ($6100),Austin Ekeler ($7000),Matt Breida ($5000),Davante Adams ($7300),Mike Evans ($6900),Calvin Ridley ($6100),Devin Asiasi ($3500),Jets ($2100),Julian Edelman ($6000),128.8
