QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Cam Newton ($6100),Austin Ekeler ($7000),Joe Mixon ($6700),Davante Adams ($7300),Adam Thielen ($6700),Kenny Golladay ($6200),Irv Smith Jr. ($3100),WAS Football Team ($2000),Allen Lazard ($4900),135.1
Tom Brady ($6500),Alvin Kamara ($7200),Joe Mixon ($6700),Davante Adams ($7300),Chris Godwin ($7100),Tre'Quan Smith ($4000),Zach Ertz ($5800),Dolphins ($2000),Dontrelle Inman ($3400),135.1
Philip Rivers ($6000),Dalvin Cook ($7900),Miles Sanders ($6300),Michael Thomas ($9000),T.Y. Hilton ($5800),Terry McLaurin ($5600),Tyler Eifert ($3300),Jets ($2100),Chris Conley ($4000),135
Carson Wentz ($6300),Austin Ekeler ($7000),Chris Carson ($6200),Chris Godwin ($7100),Terry McLaurin ($5600),DeSean Jackson ($4900),Zach Ertz ($5800),Patriots ($3200),Parris Campbell ($3900),135
Aaron Rodgers ($6300),Dalvin Cook ($7900),Alvin Kamara ($7200),Davante Adams ($7300),DK Metcalf ($5800),Marquez Valdes-Scantling ($4100),Zach Ertz ($5800),Raiders ($2600),Chris Thompson ($3000),135
Russell Wilson ($7000),Alvin Kamara ($7200),Ryan Nall ($4000),Julio Jones ($7700),Tyler Lockett ($6500),Calvin Ridley ($6100),Chris Herndon ($3300),Raiders ($2600),Terry McLaurin ($5600),135
Lamar Jackson ($8100),Christian McCaffrey ($10000),Chris Thompson ($4000),Tyler Lockett ($6500),Kenny Golladay ($6200),T.Y. Hilton ($5800),Tyler Eifert ($3300),Cardinals ($2100),Parris Campbell ($3900),135
Tyrod Taylor ($5600),Alvin Kamara ($7200),Austin Ekeler ($7000),Tyler Boyd ($6100),DK Metcalf ($5800),Terry McLaurin ($5600),Chris Herndon ($3300),Lions ($2700),Joe Mixon ($6700),135
Lamar Jackson ($8100),Dalvin Cook ($7900),Josh Jacobs ($6800),Davante Adams ($7300),Calvin Ridley ($6100),Marquez Valdes-Scantling ($4100),Robert Tonyan ($2500),Patriots ($3200),Antonio Gibson ($4000),134.9
Cam Newton ($6100),Christian McCaffrey ($10000),Matt Breida ($5000),Davante Adams ($7300),DeVante Parker ($6000),Marquise Brown ($5100),Chris Herndon ($3300),Lions ($2700),N'Keal Harry ($4400),134.9
Drew Brees ($6800),Dalvin Cook ($7900),Todd Gurley II ($6100),Davante Adams ($7300),Kenny Golladay ($6200),Marquise Brown ($5100),Kyle Rudolph ($3700),Dolphins ($2000),Allen Lazard ($4900),134.9
Lamar Jackson ($8100),Dalvin Cook ($7900),Mark Ingram II ($5500),Kenny Golladay ($6200),Jarvis Landry ($5900),T.Y. Hilton ($5800),Chris Herndon ($3300),WAS Football Team ($2000),Marquise Brown ($5100),134.8
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Alvin Kamara ($7200),Davante Adams ($7300),DJ Moore ($6600),Bryan Edwards ($4200),Ian Thomas ($3400),Lions ($2700),Chris Thompson ($3000),134.8
Lamar Jackson ($8100),Alvin Kamara ($7200),Todd Gurley II ($6100),Michael Thomas ($9000),Terry McLaurin ($5600),Tre'Quan Smith ($4000),O.J. Howard ($3700),Patriots ($3200),Chris Thompson ($3000),134.8
Tom Brady ($6500),Dalvin Cook ($7900),Alvin Kamara ($7200),Mike Evans ($6900),Calvin Ridley ($6100),Dontrelle Inman ($3400),Dallas Goedert ($4100),Lions ($2700),Ronald Jones II ($5200),134.7
Lamar Jackson ($8100),Alvin Kamara ($7200),Mark Ingram II ($5500),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),Jarvis Landry ($5900),Irv Smith Jr. ($3100),Patriots ($3200),DeSean Jackson ($4900),134.7
Cam Newton ($6100),Joe Mixon ($6700),J.K. Dobbins ($5000),Tyler Lockett ($6500),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),Mark Andrews ($6000),Raiders ($2600),Marquise Brown ($5100),134.7
Aaron Rodgers ($6300),Christian McCaffrey ($10000),Alvin Kamara ($7200),Adam Thielen ($6700),Terry McLaurin ($5600),Marvin Jones Jr. ($5500),Robert Tonyan ($2500),Dolphins ($2000),Marquez Valdes-Scantling ($4100),134.7
Kirk Cousins ($5700),Dalvin Cook ($7900),Antonio Gibson ($4000),Michael Thomas ($9000),Davante Adams ($7300),Allen Lazard ($4900),Mark Andrews ($6000),Jets ($2100),Chris Thompson ($3000),134.7
Aaron Rodgers ($6300),Alvin Kamara ($7200),Miles Sanders ($6300),Davante Adams ($7300),Chris Godwin ($7100),Marquise Brown ($5100),Irv Smith Jr. ($3100),Seahawks ($2400),Allen Lazard ($4900),134.7
Jimmy Garoppolo ($5800),Dalvin Cook ($7900),Todd Gurley II ($6100),Davante Adams ($7300),Adam Thielen ($6700),T.Y. Hilton ($5800),Chris Herndon ($3300),Chargers ($2800),Marquez Valdes-Scantling ($4100),134.7
Lamar Jackson ($8100),Josh Jacobs ($6800),Miles Sanders ($6300),Davante Adams ($7300),DeVante Parker ($6000),Preston Williams ($4500),Mike Gesicki ($4500),Jets ($2100),N'Keal Harry ($4400),134.6
Dwayne Haskins Jr. ($5000),Josh Jacobs ($6800),Antonio Gibson ($4000),Davante Adams ($7300),Chris Godwin ($7100),Mike Evans ($6900),Zach Ertz ($5800),Jets ($2100),DeSean Jackson ($4900),134.6
Lamar Jackson ($8100),Alvin Kamara ($7200),Todd Gurley II ($6100),Allen Robinson II ($6500),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Chris Herndon ($3300),Dolphins ($2000),Anthony Miller ($5000),134.6
Matt Ryan ($6700),Josh Jacobs ($6800),Joe Mixon ($6700),Julio Jones ($7700),Tyler Lockett ($6500),DK Metcalf ($5800),Logan Thomas ($2800),Dolphins ($2000),DeSean Jackson ($4900),134.6
Carson Wentz ($6300),Dalvin Cook ($7900),Tevin Coleman ($4200),Davante Adams ($7300),Calvin Ridley ($6100),DeSean Jackson ($4900),Zach Ertz ($5800),Chargers ($2800),Steven Sims Jr. ($4700),134.5
Matthew Stafford ($6200),Joe Mixon ($6700),Miles Sanders ($6300),Adam Thielen ($6700),Allen Robinson II ($6500),Kenny Golladay ($6200),T.J. Hockenson ($4200),Jets ($2100),DeSean Jackson ($4900),134.4
Josh Allen ($6500),Alvin Kamara ($7200),Miles Sanders ($6300),Adam Thielen ($6700),Stefon Diggs ($6400),Terry McLaurin ($5600),Chris Herndon ($3300),Chargers ($2800),Jamison Crowder ($5200),134.4
