QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Carson Wentz ($6300),Josh Jacobs ($6800),Antonio Gibson ($4000),Michael Thomas ($9000),Kenny Golladay ($6200),T.Y. Hilton ($5800),Jack Doyle ($3600),Patriots ($3200),DeSean Jackson ($4900),137.3
Matthew Stafford ($6200),Alvin Kamara ($7200),Josh Jacobs ($6800),Davante Adams ($7300),Kenny Golladay ($6200),T.Y. Hilton ($5800),T.J. Hockenson ($4200),Seahawks ($2400),Parris Campbell ($3900),137.2
Matt Ryan ($6700),Alvin Kamara ($7200),Todd Gurley II ($6100),Julio Jones ($7700),Kenny Golladay ($6200),Calvin Ridley ($6100),Logan Thomas ($2800),Jaguars ($2300),DeSean Jackson ($4900),137.2
Tom Brady ($6500),Ronald Jones II ($5200),Antonio Gibson ($4000),Michael Thomas ($9000),Kenny Golladay ($6200),Calvin Ridley ($6100),Zach Ertz ($5800),Jets ($2100),Marquise Brown ($5100),137.2
Cam Newton ($6100),Alvin Kamara ($7200),Ronald Jones II ($5200),Chris Godwin ($7100),Terry McLaurin ($5600),Marvin Jones Jr. ($5500),Mark Andrews ($6000),Seahawks ($2400),DeSean Jackson ($4900),137.2
Matt Ryan ($6700),Dalvin Cook ($7900),Joe Mixon ($6700),Tyler Lockett ($6500),Calvin Ridley ($6100),Terry McLaurin ($5600),Logan Thomas ($2800),Raiders ($2600),Marquise Brown ($5100),137.2
Jimmy Garoppolo ($5800),Alvin Kamara ($7200),Miles Sanders ($6300),Michael Thomas ($9000),Kenny Golladay ($6200),DK Metcalf ($5800),T.J. Hockenson ($4200),Jets ($2100),Cordarrelle Patterson ($3400),137.2
Kirk Cousins ($5700),Alvin Kamara ($7200),Josh Jacobs ($6800),Adam Thielen ($6700),T.Y. Hilton ($5800),Terry McLaurin ($5600),Dallas Goedert ($4100),Ravens ($3100),Allen Lazard ($4900),137.1
Lamar Jackson ($8100),Tarik Cohen ($4900),Ryan Nall ($4000),Davante Adams ($7300),Adam Thielen ($6700),Terry McLaurin ($5600),Mark Andrews ($6000),Jaguars ($2300),Marquise Brown ($5100),137.1
Carson Wentz ($6300),Dalvin Cook ($7900),Tarik Cohen ($4900),Davante Adams ($7300),Adam Thielen ($6700),Kenny Golladay ($6200),Ian Thomas ($3400),Seahawks ($2400),DeSean Jackson ($4900),137.1
Josh Allen ($6500),Austin Ekeler ($7000),Joe Mixon ($6700),Davante Adams ($7300),Terry McLaurin ($5600),DeSean Jackson ($4900),Mark Andrews ($6000),Raiders ($2600),Dontrelle Inman ($3400),137
Matthew Stafford ($6200),Dalvin Cook ($7900),Miles Sanders ($6300),Michael Thomas ($9000),Terry McLaurin ($5600),DeSean Jackson ($4900),Irv Smith Jr. ($3100),Jets ($2100),Allen Lazard ($4900),137
Lamar Jackson ($8100),Joe Mixon ($6700),Miles Sanders ($6300),Julio Jones ($7700),DK Metcalf ($5800),T.Y. Hilton ($5800),Jack Doyle ($3600),Jets ($2100),Parris Campbell ($3900),137
Russell Wilson ($7000),Alvin Kamara ($7200),Todd Gurley II ($6100),Adam Thielen ($6700),Tyler Lockett ($6500),Calvin Ridley ($6100),Irv Smith Jr. ($3100),Cardinals ($2100),Marquise Brown ($5100),137
Lamar Jackson ($8100),Alvin Kamara ($7200),Miles Sanders ($6300),Davante Adams ($7300),Chris Godwin ($7100),Allen Lazard ($4900),Robert Tonyan ($2500),Lions ($2700),Parris Campbell ($3900),137
Josh Allen ($6500),Christian McCaffrey ($10000),Josh Jacobs ($6800),Terry McLaurin ($5600),DeSean Jackson ($4900),Preston Williams ($4500),Zach Ertz ($5800),Lions ($2700),Damiere Byrd ($3200),136.9
Dwayne Haskins Jr. ($5000),Josh Jacobs ($6800),Chris Carson ($6200),Kenny Golladay ($6200),Terry McLaurin ($5600),Marquise Brown ($5100),Zach Ertz ($5800),Patriots ($3200),Todd Gurley II ($6100),136.9
Drew Brees ($6800),Alvin Kamara ($7200),Chris Thompson ($4000),Davante Adams ($7300),Tyler Lockett ($6500),T.Y. Hilton ($5800),Jack Doyle ($3600),Patriots ($3200),Terry McLaurin ($5600),136.8
Lamar Jackson ($8100),Christian McCaffrey ($10000),Miles Sanders ($6300),Odell Beckham Jr. ($5900),Marquise Brown ($5100),Robby Anderson ($4700),Chris Herndon ($3300),Patriots ($3200),Cordarrelle Patterson ($3400),136.8
Lamar Jackson ($8100),Joe Mixon ($6700),J.K. Dobbins ($5000),Chris Godwin ($7100),DK Metcalf ($5800),Marquise Brown ($5100),Dallas Goedert ($4100),Patriots ($3200),DeSean Jackson ($4900),136.8
Lamar Jackson ($8100),Alvin Kamara ($7200),Chris Carson ($6200),Tyler Lockett ($6500),Odell Beckham Jr. ($5900),DK Metcalf ($5800),Mo Alie-Cox ($2600),Raiders ($2600),Marquise Brown ($5100),136.8
Cam Newton ($6100),Dalvin Cook ($7900),Miles Sanders ($6300),Kenny Golladay ($6200),DeVante Parker ($6000),DeSean Jackson ($4900),Zach Ertz ($5800),Saints ($2400),N'Keal Harry ($4400),136.8
Lamar Jackson ($8100),Alvin Kamara ($7200),J.K. Dobbins ($5000),Adam Thielen ($6700),Odell Beckham Jr. ($5900),T.Y. Hilton ($5800),Ian Thomas ($3400),Patriots ($3200),Curtis Samuel ($4600),136.7
Lamar Jackson ($8100),Todd Gurley II ($6100),Ronald Jones II ($5200),Chris Godwin ($7100),T.Y. Hilton ($5800),Marquise Brown ($5100),Mark Andrews ($6000),Jets ($2100),Preston Williams ($4500),136.7
Tom Brady ($6500),Christian McCaffrey ($10000),Ronald Jones II ($5200),Chris Godwin ($7100),T.Y. Hilton ($5800),Terry McLaurin ($5600),Dallas Goedert ($4100),Lions ($2700),Chris Thompson ($3000),136.7
Carson Wentz ($6300),Dalvin Cook ($7900),Alvin Kamara ($7200),Mike Evans ($6900),Calvin Ridley ($6100),Dontrelle Inman ($3400),Dallas Goedert ($4100),Dolphins ($2000),Todd Gurley II ($6100),136.7
Carson Wentz ($6300),Christian McCaffrey ($10000),Alvin Kamara ($7200),Chris Godwin ($7100),Parris Campbell ($3900),Dontrelle Inman ($3400),Mark Andrews ($6000),Cardinals ($2100),Antonio Gibson ($4000),136.6
Lamar Jackson ($8100),Joe Mixon ($6700),Mark Ingram II ($5500),Davante Adams ($7300),Odell Beckham Jr. ($5900),DK Metcalf ($5800),Irv Smith Jr. ($3100),Dolphins ($2000),Terry McLaurin ($5600),136.5
Cam Newton ($6100),Alvin Kamara ($7200),Josh Jacobs ($6800),Davante Adams ($7300),DeVante Parker ($6000),Terry McLaurin ($5600),Logan Thomas ($2800),Bills ($3700),Preston Williams ($4500),136.5
Carson Wentz ($6300),Christian McCaffrey ($10000),Joe Mixon ($6700),Calvin Ridley ($6100),T.Y. Hilton ($5800),DeSean Jackson ($4900),Logan Thomas ($2800),Lions ($2700),Curtis Samuel ($4600),136.5
Russell Wilson ($7000),Dalvin Cook ($7900),Josh Jacobs ($6800),Calvin Ridley ($6100),DK Metcalf ($5800),T.Y. Hilton ($5800),Mo Alie-Cox ($2600),Chargers ($2800),Marquise Brown ($5100),136.5
Cam Newton ($6100),Josh Jacobs ($6800),Miles Sanders ($6300),Tyler Lockett ($6500),Calvin Ridley ($6100),DK Metcalf ($5800),Zach Ertz ($5800),Ravens ($3100),Dontrelle Inman ($3400),136.5
Tyrod Taylor ($5600),Austin Ekeler ($7000),Joe Mixon ($6700),Adam Thielen ($6700),Kenny Golladay ($6200),Calvin Ridley ($6100),Chris Herndon ($3300),Raiders ($2600),DK Metcalf ($5800),136.4
