QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Jameis Winston,Brian Hill,Bo Scarbrough,Michael Thomas,Julio Jones,Chris Godwin,Noah Fant,Denver Broncos,Demaryius Thomas,129.63,137.72
Carson Wentz,Le'Veon Bell,Sony Michel,Michael Thomas,Tyler Lockett,Calvin Ridley,Dallas Goedert,Jacksonville Jaguars,Vance McDonald,129.63,104.44
Matt Ryan,Alvin Kamara,Saquon Barkley,Jamison Crowder,Devante Parker,Robby Anderson,Vance McDonald,Chicago Bears,Demaryius Thomas,129.62,83.64
Ryan Fitzpatrick,Alvin Kamara,Leonard Fournette,Michael Thomas,Jarvis Landry,James Washington,Jason Witten,Cincinnati Bengals,Allen Hurns,129.61,190.56
Jameis Winston,Alvin Kamara,Le'Veon Bell,Odell Beckham Jr,Devante Parker,Taylor Gabriel,Zach Ertz,New England Patriots,Mike Gesicki,129.59,149.62
Dak Prescott,Alvin Kamara,David Montgomery,Michael Thomas,Julian Edelman,Jakobi Meyers,Dallas Goedert,Jacksonville Jaguars,Kalen Ballage,129.57,103.78
Jameis Winston,Le'Veon Bell,Kalen Ballage,Michael Thomas,D.J. Chark,Josh Gordon,Zach Ertz,Buffalo Bills,Dallas Goedert,129.56,139.92
Baker Mayfield,Alvin Kamara,James White,Mike Evans,Calvin Ridley,D.J. Chark,Dallas Goedert,Detroit Lions,Cameron Brate,129.52,106.68
Matt Ryan,Alvin Kamara,Devin Singletary,Michael Thomas,Chris Godwin,Danny Amendola,Jaeden Graham,Tampa Bay Buccaneers,Albert Wilson,129.5,150.84
Jeff Driskel,Le'Veon Bell,Brian Hill,Michael Thomas,Mike Evans,D.J. Moore,Jared Cook,Denver Broncos,Allen Hurns,129.43,149.68
Matt Ryan,Saquon Barkley,Kalen Ballage,Mike Evans,Julian Edelman,Devante Parker,Jared Cook,Detroit Lions,Russell Gage,129.41,108.14
Baker Mayfield,Alvin Kamara,Miles Sanders,Michael Thomas,Sterling Shepard,Taylor Gabriel,Darren Waller,New Orleans Saints,Anthony Miller,129.4,124.88
Matt Ryan,Nick Chubb,Chris Carson,Julio Jones,D.J. Chark,Russell Gage,Greg Olsen,Detroit Lions,Tim Patrick,129.4,104.64
Drew Brees,Alvin Kamara,David Montgomery,Michael Thomas,Calvin Ridley,Dede Westbrook,Greg Olsen,Cincinnati Bengals,Benjamin Watson,129.38,132.14
Matt Ryan,David Montgomery,Bo Scarbrough,Julio Jones,Calvin Ridley,Devante Parker,Darren Waller,Chicago Bears,Danny Amendola,129.37,88.64
Drew Brees,David Montgomery,Kalen Ballage,Michael Thomas,Julio Jones,Devante Parker,Jared Cook,Seattle Seahawks,Noah Fant,129.36,134.44
Matt Ryan,Alvin Kamara,Brian Hill,Julio Jones,Odell Beckham Jr,Golden Tate,OJ Howard,Detroit Lions,Tyler Eifert,129.36,90.74
Jameis Winston,Nick Chubb,Phillip Lindsay,Michael Thomas,Mike Evans,Danny Amendola,Dallas Goedert,Tampa Bay Buccaneers,Cameron Brate,129.3,133.92
Matt Ryan,James White,Miles Sanders,Michael Thomas,D.J. Moore,Courtland Sutton,Jason Witten,Cincinnati Bengals,Curtis Samuel,129.3,102.74
Matt Ryan,James White,Brian Hill,Michael Thomas,Allen Robinson,Sterling Shepard,Zach Ertz,Seattle Seahawks,Anthony Miller,129.28,139.94
Matt Ryan,Chris Carson,Le'Veon Bell,Julio Jones,Chris Godwin,Demaryius Thomas,Jason Witten,New England Patriots,Kalen Ballage,129.26,104.64
Matt Ryan,Derrick Henry,Kareem Hunt,Michael Thomas,Mike Evans,Danny Amendola,Jonnu Smith,Detroit Lions,Scott Miller,129.24,106.34
Jameis Winston,Alvin Kamara,Nick Chubb,Mike Evans,Chris Conley,Russell Gage,Zach Ertz,Detroit Lions,Benjamin Watson,129.24,145.52
Drew Brees,Leonard Fournette,Sony Michel,Michael Thomas,D.J. Moore,Tyler Boyd,Noah Fant,Detroit Lions,Dallas Goedert,129.21,180.04
Jameis Winston,Alvin Kamara,David Montgomery,Mike Evans,Chris Godwin,Julian Edelman,Jason Witten,Cincinnati Bengals,Tim Patrick,129.2,129.12
Carson Wentz,Alvin Kamara,David Montgomery,Julio Jones,Chris Godwin,Devante Parker,Benjamin Watson,New Orleans Saints,Russell Gage,129.19,125.14
Russell Wilson,Brian Hill,Sony Michel,Michael Thomas,Jarvis Landry,Golden Tate,Mike Gesicki,Chicago Bears,Devante Parker,129.17,137.8
Russell Wilson,James White,Phillip Lindsay,Michael Thomas,Tyler Lockett,Devante Parker,Jacob Hollister,New Orleans Saints,Tim Patrick,129.17,79.7
Jameis Winston,Leonard Fournette,Miles Sanders,Michael Thomas,Mike Evans,Allen Hurns,OJ Howard,Chicago Bears,Sony Michel,129.15,144.62
Matt Ryan,Nick Chubb,David Montgomery,Michael Thomas,Tyrell Williams,Hunter Renfrow,Ryan Griffin,Jacksonville Jaguars,Tim Patrick,129.14,94.74
Ryan Fitzpatrick,Nick Chubb,Devin Singletary,Michael Thomas,Calvin Ridley,Devante Parker,Vance McDonald,New England Patriots,Mike Gesicki,129.1,155.96
Matt Ryan,Chris Carson,Joe Mixon,Michael Thomas,Julio Jones,Danny Amendola,Cameron Brate,Denver Broncos,Dawson Knox,129.09,80.34
Tom Brady,David Montgomery,Sony Michel,Michael Thomas,Julian Edelman,Devante Parker,Darren Waller,New England Patriots,Jason Witten,129.09,103.0
